Title,Author,CategoryID,ISBN,Quantity,PublishYear,Description,ImagePath
Thám Tử Lừng Danh Conan - Tập 11,Gosho Aoyama,5,978-604-2-04384-7,27,2023,"Tập 11 mang đến những vụ án với mức độ phức tạp cao hơn, đòi hỏi Conan phải suy luận từ những manh mối tưởng chừng như không liên quan. Các kỹ thuật điều tra pháp y và khoa học được ứng dụng một cách thông minh. Mối quan hệ giữa các nhân vật tiếp tục phát triển theo hướng thú vị.",https://bizweb.dktcdn.net/thumb/1024x1024/100/567/082/products/8935244885019.jpg?v=1753089696063
Thám Tử Lừng Danh Conan - Tập 12,Gosho Aoyama,5,978-604-2-04385-4,25,2023,Conan đối mặt với những thử thách mới trong việc giải quyết các vụ án phức tạp. Tập 12 khám phá sâu hơn về tâm lý tội phạm và động cơ của các thủ phạm. Những tình tiết bất ngờ và các màn suy luận tuyệt vời của Conan tiếp tục làm hài lòng độc giả yêu thích thể loại trinh thám.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-12_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 13,Gosho Aoyama,5,978-604-2-04386-1,23,2023,Những vụ án trong tập 13 đòi hỏi Conan phải sử dụng kiến thức đa dạng từ nhiều lĩnh vực khác nhau. Sự xuất hiện của các nhân vật phụ thú vị và những mối quan hệ phức tạp tạo nên bối cảnh phong phú cho các câu chuyện. Conan ngày càng thành thạo trong việc che giấu danh tính thật của mình.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-13_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 14,Gosho Aoyama,5,978-604-2-04387-8,21,2023,Tập 14 mang đến những vụ án với các thủ phạm có động cơ sâu sắc và phức tạp. Conan phải đối phó với những tình huống nguy hiểm trong khi vẫn duy trì vai trò của một đứa trẻ bình thường. Các kỹ thuật suy luận logic và quan sát tinh tế được thể hiện một cách xuất sắc.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-14_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 15,Gosho Aoyama,5,978-604-2-04388-5,19,2023,Các vụ án trong tập 15 ngày càng tinh vi và đòi hỏi kỹ năng suy luận cao độ từ Conan. Những tình tiết gay cấn và bất ngờ được kết hợp với những màn giải mã thông minh. Mối quan hệ giữa Conan và các nhân vật xung quanh tiếp tục phát triển theo những hướng không ngờ.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-15_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 16,Gosho Aoyama,5,978-604-2-04389-2,17,2023,Tập 16 khám phá những khía cạnh mới của thế giới tội phạm với các vụ án phức tạp và thú vị. Conan phải sử dụng tất cả kiến thức và kinh nghiệm để giải quyết những bí ẩn khó hiểu. Các tình tiết hành động và suy luận được cân bằng một cách hoàn hảo tạo nên sức hấp dẫn đặc biệt.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-16_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 17,Gosho Aoyama,5,978-604-2-04390-8,15,2023,Những vụ án trong tập 17 đòi hỏi Conan phải có góc nhìn đa chiều và kỹ năng suy luận tuyệt vời. Sự phát triển của các nhân vật và những mối quan hệ phức tạp tạo nên chiều sâu cho câu chuyện. Conan tiếp tục chứng minh tài năng thám tử xuất chúng của mình qua những vụ án khó nhằn.,https://cdn1.fahasa.com/media/catalog/product/9/7/9784091250476.jpg
Thám Tử Lừng Danh Conan - Tập 18,Gosho Aoyama,5,978-604-2-04391-5,13,2023,Tập 18 mang đến những thử thách mới cho Conan với các vụ án có mức độ phức tạp cao. Những kỹ thuật điều tra hiện đại và phương pháp suy luận khoa học được áp dụng một cách thông minh. Mối quan hệ giữa Conan và Ran tiếp tục phát triển theo hướng đầy cảm xúc.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-18_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 19,Gosho Aoyama,5,978-604-2-04392-2,12,2023,Các vụ án trong tập 19 đòi hỏi Conan phải sử dụng kiến thức từ nhiều lĩnh vực để giải quyết. Những tình tiết bất ngờ và các màn suy luận tuyệt vời tiếp tục làm hài lòng độc giả. Conan phải đối mặt với những nguy hiểm mới trong khi bảo vệ bí mật danh tính của mình.,https://cdn1.fahasa.com/media/catalog/product/i/m/image_183058_1.jpg
Thám Tử Lừng Danh Conan - Tập 20,Gosho Aoyama,5,978-604-2-04393-9,11,2023,Tập 20 khám phá những khía cạnh sâu sắc hơn về tâm lý tội phạm và động cơ của các thủ phạm. Conan phải sử dụng tất cả kỹ năng và kinh nghiệm để giải quyết những vụ án phức tạp. Các mối quan hệ nhân vật tiếp tục phát triển theo những hướng thú vị và không ngờ.,https://cdn1.fahasa.com/media/catalog/product/9/7/9784091250506.jpg
Thám Tử Lừng Danh Conan - Tập 21,Gosho Aoyama,5,978-604-2-04394-6,10,2023,"Những vụ án trong tập 21 ngày càng tinh vi và đòi hỏi kỹ năng suy luận cao độ. Conan phải đối phó với những tình huống nguy hiểm trong khi vẫn duy trì vỏ bọc của một đứa trẻ bình thường. Sự kết hợp giữa hành động, suy luận và tình cảm tạo nên sức hấp dẫn đặc biệt của bộ truyện.",https://cdn1.fahasa.com/media/catalog/product/8/9/8935244885118.jpg
Thám Tử Lừng Danh Conan - Tập 22,Gosho Aoyama,5,978-604-2-04395-3,9,2023,Tập 22 mang đến những vụ án với các thủ phạm có động cơ phức tạp và khó đoán. Conan phải sử dụng trí thông minh và kinh nghiệm để giải quyết những bí ẩn khó hiểu. Các kỹ thuật điều tra pháp y và khoa học được ứng dụng một cách thông minh và hiệu quả.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-22_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 23,Gosho Aoyama,5,978-604-2-04396-0,8,2023,Các vụ án trong tập 23 đòi hỏi Conan phải có góc nhìn đa chiều và kỹ năng quan sát tinh tế. Những tình tiết gay cấn và bất ngờ được kết hợp với những màn suy luận xuất sắc. Mối quan hệ giữa các nhân vật tiếp tục phát triển theo hướng đầy thú vị.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-23_-tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 24,Gosho Aoyama,5,978-604-2-04397-7,7,2023,Tập 24 khám phá những khía cạnh mới của thế giới tội phạm với các vụ án phức tạp. Conan phải đối mặt với những thử thách mới trong việc giải quyết các bí ẩn khó nhằn. Sự phát triển của các nhân vật và những mối quan hệ phức tạp tạo nên chiều sâu cho câu chuyện.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-24_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 25,Gosho Aoyama,5,978-604-2-04398-4,6,2023,Những vụ án trong tập 25 ngày càng tinh vi và đòi hỏi kỹ năng suy luận tuyệt vời từ Conan. Các kỹ thuật điều tra hiện đại và phương pháp khoa học được áp dụng một cách thông minh. Conan tiếp tục chứng minh tài năng thám tử xuất chúng qua những vụ án khó khăn.,https://cdn1.fahasa.com/media/catalog/product/i/m/image_183326_1.jpg
Thám Tử Lừng Danh Conan - Tập 26,Gosho Aoyama,5,978-604-2-04399-1,5,2023,Tập 26 mang đến những thử thách mới cho Conan với các vụ án có mức độ phức tạp cao. Những tình tiết bất ngờ và các màn giải mã thông minh tiếp tục làm hài lòng độc giả. Mối quan hệ giữa Conan và các nhân vật xung quanh tiếp tục phát triển theo những hướng không ngờ.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-26_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 27,Gosho Aoyama,5,978-604-2-04400-4,4,2023,Các vụ án trong tập 27 đòi hỏi Conan phải sử dụng kiến thức đa dạng và kỹ năng suy luận cao độ. Conan phải đối phó với những tình huống nguy hiểm trong khi bảo vệ bí mật danh tính của mình. Sự kết hợp giữa hành động và suy luận tạo nên sức hấp dẫn đặc biệt.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-27_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 28,Gosho Aoyama,5,978-604-2-04401-1,3,2023,Tập 28 khám phá những khía cạnh sâu sắc về tâm lý con người và động cơ tội phạm. Conan phải sử dụng tất cả kiến thức và kinh nghiệm để giải quyết những vụ án phức tạp. Các mối quan hệ nhân vật tiếp tục phát triển theo những hướng đầy cảm xúc và thú vị.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_bia_tap-28.jpg
Thám Tử Lừng Danh Conan - Tập 29,Gosho Aoyama,5,978-604-2-04402-8,3,2023,Những vụ án trong tập 29 ngày càng tinh vi và đòi hỏi kỹ năng quan sát tinh tế. Conan phải đối mặt với những thử thách mới trong việc giải quyết các bí ẩn khó hiểu. Những tình tiết gay cấn và bất ngờ được kết hợp một cách hoàn hảo với các màn suy luận xuất sắc.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-29_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 30,Gosho Aoyama,5,978-604-2-04403-5,2,2023,Tập 30 mang đến những vụ án với các thủ phạm có động cơ phức tạp và khó đoán. Conan tiếp tục chứng minh tài năng thám tử xuất chúng qua những vụ án thử thách. Sự phát triển của các nhân vật và những mối quan hệ phức tạp tạo nên chiều sâu đặc biệt cho câu chuyện.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-30_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 31,Gosho Aoyama,5,978-604-2-04404-2,2,2023,Các vụ án trong tập 31 đòi hỏi Conan phải sử dụng tất cả kỹ năng và kinh nghiệm của mình. Những kỹ thuật điều tra pháp y và khoa học được ứng dụng một cách thông minh và hiệu quả. Mối quan hệ giữa Conan và Ran tiếp tục phát triển theo hướng đầy cảm xúc.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tap-31---tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 32,Gosho Aoyama,5,978-604-2-04405-9,1,2023,Tập 32 khám phá những khía cạnh mới của thế giới tội phạm với các vụ án tinh vi. Conan phải đối phó với những tình huống nguy hiểm trong khi vẫn duy trì vai trò của một đứa trẻ bình thường. Các tình tiết hành động và suy luận được cân bằng một cách hoàn hảo.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-32_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 33,Gosho Aoyama,5,978-604-2-04406-6,1,2023,Những vụ án trong tập 33 ngày càng phức tạp và đòi hỏi kỹ năng suy luận cao độ từ Conan. Những tình tiết bất ngờ và các màn giải mã thông minh tiếp tục làm hài lòng độc giả yêu thích thể loại trinh thám. Conan tiếp tục phát triển như một thám tử tài năng.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-33_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 34,Gosho Aoyama,5,978-604-2-04407-3,1,2023,Tập 34 mang đến những thử thách mới với các vụ án có động cơ sâu sắc. Conan phải sử dụng kiến thức đa dạng từ nhiều lĩnh vực để giải quyết những bí ẩn khó hiểu. Sự phát triển của các mối quan hệ nhân vật tạo nên những tình tiết đầy cảm xúc.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-34_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 35,Gosho Aoyama,5,978-604-2-04408-0,1,2023,Các vụ án trong tập 35 đòi hỏi Conan phải có góc nhìn đa chiều và kỹ năng quan sát tinh tế. Những kỹ thuật điều tra hiện đại và phương pháp khoa học được áp dụng một cách xuất sắc. Conan tiếp tục chứng minh tài năng thám tử vượt trội qua những vụ án thử thách.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-35_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 36,Gosho Aoyama,5,978-604-2-04409-7,1,2023,"Tập 36 khám phá những khía cạnh phức tạp của tâm lý tội phạm với các vụ án đầy bí ẩn. Conan phải đối mặt với những thử thách mới trong việc giải quyết các bí ẩn khó nhằn. Những tình tiết gay cấn và bất ngờ được kết hợp với những màn suy luận tuyệt vời, tạo nên sức hấp dẫn đặc biệt cho độc giả.",https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tb-2019---tap-36.jpg
Thám Tử Lừng Danh Conan - Tập 37,Gosho Aoyama,5,978-604-2-04410-3,1,2023,Những vụ án trong tập 37 ngày càng tinh vi và đòi hỏi kỹ năng suy luận cao độ từ Conan. Các kỹ thuật điều tra pháp y và khoa học được ứng dụng một cách thông minh và hiệu quả. Mối quan hệ giữa các nhân vật tiếp tục phát triển theo những hướng thú vị và không ngờ.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan---tap-37---tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 38,Gosho Aoyama,5,978-604-2-04411-0,1,2023,Tập 38 mang đến những vụ án với các thủ phạm có động cơ phức tạp và khó đoán. Conan phải sử dụng tất cả kiến thức và kinh nghiệm để giải quyết những bí ẩn khó hiểu. Sự phát triển của các nhân vật và những mối quan hệ phức tạp tạo nên chiều sâu đặc biệt cho câu chuyện.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-38_tb-2023.jpg
Thám Tử Lừng Danh Conan - Tập 39,Gosho Aoyama,5,978-604-2-04412-7,1,2023,Các vụ án trong tập 39 đòi hỏi Conan phải có góc nhìn đa chiều và kỹ năng quan sát tinh tế nhất. Những kỹ thuật điều tra hiện đại và phương pháp suy luận khoa học được thể hiện một cách xuất sắc. Conan tiếp tục chứng minh tài năng thám tử vượt trội trong những tình huống thử thách khó khăn.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_bia_tap-39.jpg
Thám Tử Lừng Danh Conan - Tập 40,Gosho Aoyama,5,978-604-2-04413-4,1,2023,Tập 40 đánh dấu một cột mốc quan trọng trong hành trình của Conan với những vụ án phức tạp nhất từ trước đến nay. Những tình tiết gay cấn và bất ngờ được kết hợp hoàn hảo với các màn suy luận tuyệt vời. Mối quan hệ giữa Conan và các nhân vật xung quanh đạt đến những phát triển đầy cảm xúc và ý nghĩa.,https://cdn1.fahasa.com/media/catalog/product/t/h/tham-tu-lung-danh-conan_tap-40_tb-2023.jpg
